,inflow_cfs,outflow_cfs,storage_af
1996-01-01,3470.0,2510.0,319648.0
1996-01-02,2695.0,2417.0,320184.0
1996-01-03,2932.0,2442.0,321136.0
1996-01-04,2563.0,2287.0,321671.0
1996-01-05,2380.0,2048.0,322326.0
1996-01-06,1675.0,2179.0,321314.0
1996-01-07,1930.0,2134.0,320898.0
1996-01-08,2052.0,2076.0,320838.0
1996-01-09,2282.0,2128.0,321136.0
1996-01-10,2422.0,1968.0,322028.0
1996-01-11,2033.0,2061.0,321969.0
1996-01-12,1763.0,1993.0,321493.0
1996-01-13,1882.0,2182.0,320898.0
1996-01-14,1600.0,2140.0,319827.0
1996-01-15,2100.0,2100.0,319827.0
1996-01-16,4589.0,2101.0,324733.0
1996-01-17,9934.0,1990.0,340491.0
1996-01-18,5984.0,1934.0,348498.0
1996-01-19,7264.0,1912.0,359113.0
1996-01-20,5471.0,1983.0,366018.0
1996-01-21,5543.0,1937.0,373138.0
1996-01-22,4535.0,2238.0,377693.0
1996-01-23,3866.0,2098.0,381146.0
1996-01-24,9012.0,2217.0,394625.0
1996-01-25,20996.0,1655.0,432989.0
1996-01-26,8054.0,1990.0,445002.0
1996-01-27,9946.0,1957.0,460847.0
1996-01-28,13328.0,1773.0,483766.0
1996-01-29,8836.0,2023.0,497249.0
1996-01-30,5975.0,3971.0,501214.0
1996-01-31,5354.0,3953.0,503991.0
1996-02-01,5057.0,3524.0,507033.0
1996-02-02,4601.0,3099.0,509994.0
1996-02-03,4424.0,3072.0,512644.0
1996-02-04,19573.0,2436.0,546617.0
1996-02-05,46282.0,19775.0,599195.0
1996-02-06,23745.0,27944.0,590855.0
1996-02-07,14558.0,29494.0,561191.0
1996-02-08,11130.0,22744.0,538127.0
1996-02-09,9069.0,18691.0,519026.0
1996-02-10,8036.0,16723.0,501769.0
1996-02-11,7255.0,14430.0,487501.0
1996-02-12,6957.0,12646.0,476182.0
1996-02-13,6808.0,12548.0,464776.0
1996-02-14,6281.0,12303.0,452807.0
1996-02-15,5993.0,11404.0,442045.0
1996-02-16,6302.0,11148.0,432410.0
1996-02-17,7626.0,13272.0,421186.0
1996-02-18,9354.0,13910.0,412135.0
1996-02-19,11917.0,13039.0,409895.0
1996-02-20,24744.0,23368.0,412625.0
1996-02-21,23387.0,22608.0,414171.0
1996-02-22,19027.0,7716.0,406884.0
1996-02-23,14421.0,19866.0,396061.0
1996-02-24,12285.0,17697.0,385287.0
1996-02-25,10978.0,15561.0,376175.0
1996-02-26,9522.0,12467.0,370326.0
1996-02-27,8746.0,10144.0,367517.0
1996-02-28,7119.0,8993.0,363756.0
1996-02-29,7101.0,8032.0,361883.0
1996-03-01,6887.0,7365.0,360914.0
1996-03-02,6525.0,6671.0,360591.0
1996-03-03,6718.0,6234.0,361496.0
1996-03-04,10691.0,5561.0,371632.0
1996-03-05,18565.0,5421.0,397703.0
1996-03-06,13235.0,3821.0,416366.0
